"https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","List of population milestones by country","List of population milestones by country","List of population milestones by country","List of population milestones by country","List of population milestones by country"
0,0,0,0,0,0,0,1,1,1,1,1
1,2,3,4,5,6,7,1,2,3,4,5
"","Location","Population","% of","Date","Source (official or from","Notes","Milestone","China","India","Nigeria","Pakistan"
" -"," ",587259,0.00700000,1,"UN projection","[",600,1954,1974,2074,""
" -"," ",587259,0.00700000,1,"UN projection","[",700,1964,1981,2086,""
" -"," ",587259,0.00700000,1,"UN projection","[",750,1967,1984,2094,""
" -"," ",587259,0.00700000,1,"UN projection","[",800,1969,1987,2101,""
" -"," ",587259,0.00700000,1,"UN projection","[",900,1974,1992,2114,""
" -"," ",587259,0.00700000,1,"UN projection","[",1,1981,1997,2129,""
" -"," ",587259,0.00700000,1,"UN projection","[",1.10000000,1988,2002,"-",""
" -"," ",587259,0.00700000,1,"UN projection","[",1.20000000,1995,2008,"-",""
" -"," ",587259,0.00700000,1,"UN projection","[",1.30000000,2003,2014,"-",""
" -"," ",587259,0.00700000,1,"UN projection","[",1.40000000,2017,2022,"-",""
" -"," ",587259,0.00700000,1,"UN projection","[",1.50000000,"-",2030,"-",""
" -"," ",587259,0.00700000,1,"UN projection","[",1.60000000,"-",2041,"-",""
" -"," ",587259,0.00700000,1,"UN projection","[",2,"-",2082,"-",""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",600,1954,1974,2074,""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",700,1964,1981,2086,""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",750,1967,1984,2094,""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",800,1969,1987,2101,""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",900,1974,1992,2114,""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",1,1981,1997,2129,""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",1.10000000,1988,2002,"-",""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",1.20000000,1995,2008,"-",""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",1.30000000,2003,2014,"-",""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",1.40000000,2017,2022,"-",""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",1.50000000,"-",2030,"-",""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",1.60000000,"-",2041,"-",""
" -"," ",32358,0.00040000,01/01/2020,"Official estimate","",2,"-",2082,"-",""
" -","Abkhazia",244236,0.00300000,01/01/2022,"Official estimate","[",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
42,"Afghanistan",34262840,0.40000000,01/01/2023,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
143,"Albania",2402113,0.03000000,18/09/2023,2023,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
33,"Algeria",46700000,0.60000000,01/01/2024,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","American Samoa",49710,0.00060000,01/04/2020,2020,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
185,"Andorra",86398,0.00100000,31,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
41,"Angola",35121734,0.40000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Anguilla",15780,0.00020000,31/12/2022,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
183,"Antigua and Barbuda",103603,0.00100000,01/01/2024,"National annual estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
32,"Argentina",47067441,0.60000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
134,"Armenia",3039700,0.04000000,01/01/2024,"National quarterly estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Aruba",107151,0.00100000,31/12/2022,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
54,"Australia",27122411,0.30000000,31/03/2024,"Official projection","[",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
97,"Austria",9179693,0.10000000,1,"National quarterly estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
93,"Azerbaijan",10200013,0.10000000,1,"Monthly national estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
171,"Bahamas",397360,0.00500000,1,"[","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
149,"Bahrain",1588670,0.02000000,1,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
