city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,CONTINENT
Moscow,Moscow,55.7506,37.6175,Russia,RU,RUS,Moskva,primary,17332000,1643318494,E
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,"London, City of",primary,11262000,1826645935,E
Paris,Paris,48.8567,2.3522,France,FR,FRA,Île-de-France,primary,11060000,1250015082,E
Madrid,Madrid,40.4169,-3.7033,Spain,ES,ESP,Madrid,primary,6211000,1724616994,E
Saint Petersburg,Saint Petersburg,59.9375,30.3086,Russia,RU,RUS,Sankt-Peterburg,admin,5597763,1643616350,E
Barcelona,Barcelona,41.3833,2.1833,Spain,ES,ESP,Catalonia,admin,4800000,1724594040,E
Berlin,Berlin,52.52,13.405,Germany,DE,DEU,Berlin,primary,4679500,1276451290,E
Athens,Athens,37.9842,23.7281,Greece,GR,GRC,Attikí,primary,3059764,1300715560,E
Kyiv,Kyiv,50.45,30.5233,Ukraine,UA,UKR,"Kyiv, Misto",primary,2952301,1804382913,E
Stuttgart,Stuttgart,48.7775,9.18,Germany,DE,DEU,Baden-Württemberg,admin,2787724,1276171358,E
Rome,Rome,41.8931,12.4828,Italy,IT,ITA,Lazio,primary,2748109,1380382862,E
Munich,Munich,48.1375,11.575,Germany,DE,DEU,Bavaria,admin,2606021,1276692352,E
Birmingham,Birmingham,52.48,-1.9025,United Kingdom,GB,GBR,Birmingham,,2590363,1826423213,E
Hamburg,Hamburg,53.55,10,Germany,DE,DEU,Hamburg,admin,2496600,1276041799,E
Bucharest,Bucharest,44.4325,26.1039,Romania,RO,ROU,Bucureşti,primary,2412530,1642414442,E
Vienna,Vienna,48.2083,16.3725,Austria,AT,AUT,Wien,primary,2223236,1040261752,E
Warsaw,Warsaw,52.23,21.0111,Poland,PL,POL,Mazowieckie,primary,2028000,1616024847,E
Tilburg,Tilburg,51.5572,5.0911,Netherlands,NL,NLD,Noord-Brabant,minor,1944588,1528817379,E
Budapest,Budapest,47.4983,19.0408,Hungary,HU,HUN,Budapest,primary,1686222,1348611435,E
Novosibirsk,Novosibirsk,55.05,82.95,Russia,RU,RUS,Novosibirskaya Oblast’,admin,1633851,1643399240,E
Valencia,Valencia,39.47,-0.3764,Spain,ES,ESP,Valencia,admin,1595000,1724981666,E
Amsterdam,Amsterdam,52.3728,4.8936,Netherlands,NL,NLD,Noord-Holland,primary,1477213,1528355309,E
Yekaterinburg,Yekaterinburg,56.8356,60.6128,Russia,RU,RUS,Sverdlovskaya Oblast’,admin,1468833,1643582706,E
Kharkiv,Kharkiv,49.9925,36.2311,Ukraine,UA,UKR,Kharkivska Oblast,admin,1421125,1804588111,E
Prague,Prague,50.0875,14.4214,Czechia,CZ,CZE,Praha,primary,1384732,1203744823,E
Copenhagen,Copenhagen,55.6805,12.5615,Denmark,DK,DNK,Hovedstaden,primary,1366301,1208763942,E
Helsinki,Helsinki,60.1708,24.9375,Finland,FI,FIN,Uusimaa,primary,1360075,1246177997,E
Milan,Milan,45.4669,9.19,Italy,IT,ITA,Lombardy,admin,1354196,1380724377,E
Kazan,Kazan,55.7964,49.1089,Russia,RU,RUS,Tatarstan,admin,1259173,1643101260,E
Brussels,Brussels,50.8467,4.3525,Belgium,BE,BEL,Brussels-Capital Region,primary,1249597,1056469830,E
Nizhniy Novgorod,Nizhniy Novgorod,56.3269,44.0075,Russia,RU,RUS,Nizhegorodskaya Oblast’,admin,1204985,1643012126,E
Belgrade,Belgrade,44.8178,20.4569,Serbia,RS,SRB,Beograd,primary,1197714,1688374696,E
Chelyabinsk,Chelyabinsk,55.1547,61.3758,Russia,RU,RUS,Chelyabinskaya Oblast’,admin,1177058,1643224011,E
Samara,Samara,53.2028,50.1408,Russia,RU,RUS,Samarskaya Oblast’,admin,1156659,1643205757,E
Krasnodar,Krasnodar,45.0333,38.9667,Russia,RU,RUS,Krasnodarskiy Kray,admin,1138654,1643438227,E
Rostov,Rostov,47.2225,39.71,Russia,RU,RUS,Rostovskaya Oblast’,admin,1135968,1643013518,E
Ufa,Ufa,54.7261,55.9475,Russia,RU,RUS,Bashkortostan,admin,1128787,1643722928,E
Omsk,Omsk,54.9833,73.3667,Russia,RU,RUS,Omskaya Oblast’,admin,1104485,1643360863,E
Sevilla,Sevilla,37.39,-5.99,Spain,ES,ESP,Andalusia,admin,1100000,1724991838,E
Krasnoyarsk,Krasnoyarsk,56.0089,92.8719,Russia,RU,RUS,Krasnoyarskiy Kray,admin,1092851,1643544975,E
Cologne,Cologne,50.9364,6.9528,Germany,DE,DEU,North Rhine-Westphalia,,1087353,1276015998,E
Voronezh,Voronezh,51.6717,39.2106,Russia,RU,RUS,Voronezhskaya Oblast’,admin,1051995,1643811064,E
Perm,Perm,58,56.3167,Russia,RU,RUS,Permskiy Kray,admin,1026908,1643294442,E
Odesa,Odesa,46.492,30.7081,Ukraine,UA,UKR,Odeska Oblast,admin,1010537,1804178102,E
Volgograd,Volgograd,48.7086,44.5147,Russia,RU,RUS,Volgogradskaya Oblast’,admin,1004763,1643577201,E
Stockholm,Stockholm,59.3275,18.0547,Sweden,SE,SWE,Stockholm,primary,995574,1752425602,E
Bordeaux,Bordeaux,44.84,-0.58,France,FR,FRA,Nouvelle-Aquitaine,admin,994920,1250449238,E
Dnipro,Dnipro,48.4675,35.04,Ukraine,UA,UKR,Dnipropetrovska Oblast,admin,968502,1804152933,E
Málaga,Malaga,36.7194,-4.42,Spain,ES,ESP,Andalusia,minor,967250,1724397372,E
Naples,Naples,40.8358,14.2486,Italy,IT,ITA,Campania,admin,913462,1380646673,E
Donetsk,Donetsk,48.0028,37.8053,Ukraine,UA,UKR,Donetska Oblast,admin,901645,1804963805,E
Marseille,Marseille,43.2964,5.37,France,FR,FRA,Provence-Alpes-Côte d’Azur,admin,877215,1250774071,E
Tyumen,Tyumen,57.15,65.5333,Russia,RU,RUS,Tyumenskaya Oblast’,admin,861100,1643040435,E
Portsmouth,Portsmouth,50.8058,-1.0872,United Kingdom,GB,GBR,Portsmouth,,855679,1826964096,E
Southampton,Southampton,50.9025,-1.4042,United Kingdom,GB,GBR,Southampton,,855569,1826602892,E
Turin,Turin,45.0792,7.6761,Italy,IT,ITA,Piedmont,admin,841600,1380244627,E
Saratov,Saratov,51.53,46.035,Russia,RU,RUS,Saratovskaya Oblast’,admin,838042,1643556540,E
Kraków,Krakow,50.0614,19.9372,Poland,PL,POL,Małopolskie,admin,804237,1616172264,E
Thessaloníki,Thessaloniki,40.6403,22.9356,Greece,GR,GRC,Kentrikí Makedonía,admin,802572,1300397999,E
Frankfurt,Frankfurt,50.1106,8.6822,Germany,DE,DEU,Hesse,minor,775790,1276054552,E
Bilbao,Bilbao,43.2569,-2.9236,Spain,ES,ESP,Basque Country,minor,775000,1724331267,E
Zagreb,Zagreb,45.8131,15.9772,Croatia,HR,HRV,"Zagreb, Grad",primary,767131,1191233290,E
Gdańsk,Gdansk,54.3475,18.6453,Poland,PL,POL,Pomorskie,admin,749786,1616406372,E
Lviv,Lviv,49.8425,24.0322,Ukraine,UA,UKR,Lvivska Oblast,admin,717273,1804939658,E
Zaporizhzhia,Zaporizhzhia,47.85,35.1175,Ukraine,UA,UKR,Zaporizka Oblast,admin,710052,1804644752,E
